Config_ID,Config_Name,Index_Type,Datastore,Compression,Query_Processing,Optimization,Index_Time_Seconds,Latency_Mean_ms,Latency_P50_ms,Latency_P95_ms,Latency_P99_ms,Latency_Min_ms,Latency_Max_ms,Throughput_Single_Thread_QPS,Throughput_Multi_Thread_QPS,Throughput_Speedup_Factor,Memory_Index_Size_MB,Memory_Docs_Per_MB,Memory_Growth_MB,Functional_MAP,Functional_Recall,Functional_F1_Score,Functional_NDCG,Functional_Coverage_Rate,Latency_Boolean_Queries_Mean_ms,Latency_Boolean_Queries_P95_ms,Latency_Common_Terms_Mean_ms,Latency_Common_Terms_P95_ms,Latency_Empty_No_Results_Mean_ms,Latency_Empty_No_Results_P95_ms,Latency_Long_Queries_Mean_ms,Latency_Long_Queries_P95_ms,Latency_Multi_Term_Mean_ms,Latency_Multi_Term_P95_ms,Latency_Phrase_Queries_Mean_ms,Latency_Phrase_Queries_P95_ms,Latency_Rare_Terms_Mean_ms,Latency_Rare_Terms_P95_ms,Latency_Single_Term_Mean_ms,Latency_Single_Term_P95_ms
48,SelfIndex_048_WORD_DB1_CLIB_Skip_DOCa,WORDCOUNT,DB1,CLIB,DOCatat,Skipping,77.62,9.43,7.72,30.4,34.35,0.05,35.96,83.2,39.53,0.475,344.45,145.16,2303.65,0.5333,1.5833,0.7949,0.8807,1.0,7.63,12.61,10.68,20.39,0.07,0.09,28.96,31.95,13.02,30.71,6.42,12.54,0.63,1.51,9.54,17.9
49,SelfIndex_049_TFID_CUST_NONE_Null_TERM,TFIDF,CUSTOM,NONE,TERMatat,Null,51.54,24.1,14.84,110.72,120.47,0.05,122.53,32.98,43.92,1.332,634.05,78.86,4539.72,0.5,1.5,0.7473,0.9367,1.0,23.09,36.82,15.83,30.07,0.08,0.11,111.58,121.82,29.91,52.46,21.41,41.01,0.71,1.74,11.4,20.32
50,SelfIndex_050_TFID_CUST_NONE_Null_DOCa,TFIDF,CUSTOM,NONE,DOCatat,Null,48.87,25.2,14.77,109.51,129.19,0.06,132.57,33.45,40.2,1.202,634.05,78.86,4449.43,0.5,1.5,0.7473,0.9367,1.0,24.17,38.79,16.62,31.16,0.08,0.1,116.08,131.39,31.81,54.04,21.78,41.71,0.76,1.85,12.17,21.81
51,SelfIndex_051_TFID_CUST_NONE_Skip_TERM,TFIDF,CUSTOM,NONE,TERMatat,Skipping,51.26,24.37,15.63,107.28,118.95,0.06,121.92,7.72,43.2,5.595,638.74,78.28,4463.06,0.5,1.5,0.7473,0.9367,1.0,24.4,37.88,15.92,30.04,0.08,0.1,110.26,120.89,30.39,53.38,22.43,44.24,0.7,1.69,11.55,20.69
52,SelfIndex_052_TFID_CUST_NONE_Skip_DOCa,TFIDF,CUSTOM,NONE,DOCatat,Skipping,47.53,421.88,8.73,29.82,10353.27,0.06,18137.26,29.27,80.59,2.753,638.74,78.28,4379.5,0.5333,1.5833,0.7949,0.8807,1.0,3634.61,14512.89,12.29,22.76,0.08,0.1,26.46,34.24,11.56,24.03,10.0,19.94,0.55,1.3,9.65,17.87
53,SelfIndex_053_TFID_CUST_CODE_Null_TERM,TFIDF,CUSTOM,CODE,TERMatat,Null,81.78,29.15,15.82,127.68,149.45,0.05,157.25,17.63,38.58,2.189,574.27,87.07,6591.05,0.5,1.5,0.7473,0.9367,1.0,26.05,46.31,19.25,38.24,0.09,0.12,136.17,154.53,39.16,76.57,24.22,51.24,1.03,2.21,13.17,24.38
54,SelfIndex_054_TFID_CUST_CODE_Null_DOCa,TFIDF,CUSTOM,CODE,DOCatat,Null,81.77,33.12,17.54,155.57,174.21,0.05,186.86,12.22,36.09,2.955,574.27,87.07,6964.35,0.5,1.5,0.7473,0.9367,1.0,29.3,51.93,20.74,39.06,0.08,0.1,163.42,182.45,42.28,84.33,26.19,55.59,0.97,2.18,14.47,26.9
55,SelfIndex_055_TFID_CUST_CODE_Skip_TERM,TFIDF,CUSTOM,CODE,TERMatat,Skipping,81.02,29.09,15.44,136.92,154.62,0.05,155.85,9.64,38.12,3.954,574.27,87.07,6910.24,0.5,1.5,0.7473,0.9367,1.0,25.4,44.8,18.24,34.27,0.08,0.11,142.04,155.42,38.64,75.64,22.31,43.23,0.93,2.26,12.97,23.24
56,SelfIndex_056_TFID_CUST_CODE_Skip_DOCa,TFIDF,CUSTOM,CODE,DOCatat,Skipping,76.51,14.76,11.7,55.78,57.81,0.06,58.52,35.01,76.21,2.177,574.27,87.07,7006.41,0.5333,1.5833,0.7949,0.8807,1.0,13.43,22.51,16.16,32.81,1.59,4.15,52.18,58.27,18.47,42.24,11.32,22.56,0.65,1.57,11.15,19.41
57,SelfIndex_057_TFID_CUST_CLIB_Null_TERM,TFIDF,CUSTOM,CLIB,TERMatat,Null,82.43,22.96,14.44,96.32,117.3,0.05,123.37,30.69,16.8,0.547,269.76,185.35,1786.89,0.5,1.5,0.7473,0.9367,1.0,16.81,26.51,14.51,27.6,0.08,0.11,105.7,121.25,33.36,65.58,15.6,29.25,0.91,2.2,14.61,28.04
